idx,phase,bias_percent,start_s,end_s,n_arsp,arsp_airspeed_mean,arsp_u_mean,arsp_u_zero_fraction,arsp_h_mean,arsp_hp_mean,arsp_tr_mean,arsp_tr_max,sensor_disable_events,sensor_reenable_events
1,baseline_settle,0.0,213.244,266.623,534,15.0,1.0,0.0,1.0,1.0,0.0207,0.064,0,0
2,fault_observe,10.0,271.623,325.243,536,14.984,1.0,0.0,1.0,1.0,0.4049,0.8649,0,0
3,baseline_settle,0.0,330.243,383.623,534,15.034,1.0,0.0,1.0,1.0,0.347,0.7188,0,0
4,fault_observe,20.0,388.623,441.983,533,15.091,1.0,0.0,1.0,1.0,0.6763,1.4857,0,0
5,baseline_settle,0.0,446.983,500.343,534,15.017,1.0,0.0,1.0,1.0,0.6446,1.2943,0,0
6,fault_observe,30.0,505.343,558.983,536,16.061,1.0,0.0,1.0,1.0,0.9604,2.2221,0,0
7,baseline_settle,0.0,563.983,617.123,532,14.991,1.0,0.0,1.0,1.0,0.9469,2.0216,0,0
8,fault_observe,40.0,622.123,675.983,538,17.302,1.0,0.0,1.0,1.0,1.2362,3.0645,0,0
9,baseline_settle,0.0,680.983,734.623,537,15.023,1.0,0.0,1.0,1.0,1.2145,2.7029,0,0
10,fault_observe,50.0,739.623,793.463,538,20.197,1.0,0.0,1.0,1.0,4.2154,4.8838,0,0
11,baseline_settle,0.0,798.463,851.863,534,15.026,1.0,0.0,1.0,1.0,0.1561,0.5131,0,0
12,fault_observe,60.0,856.863,910.483,536,21.553,0.1604,0.8396,0.9963,0.6239,1.0713,7.2172,2,1
13,baseline_settle,0.0,915.483,961.623,462,13.431,0.1732,0.8268,1.0,0.7994,0.0126,0.1279,0,1
14,fault_observe,70.0,966.623,1017.983,513,22.977,0.1404,0.8596,0.9981,0.6458,1.0104,7.95,1,1
15,baseline_settle,0.0,1022.983,1072.623,497,15.027,1.0,0.0,1.0,0.8229,0.0569,0.213,0,0
16,fault_observe,80.0,1077.623,1130.463,528,24.342,0.1572,0.8428,0.9962,0.6309,1.345,9.1262,2,1
17,baseline_settle,0.0,1135.463,1188.123,527,13.624,0.2657,0.7343,1.0,0.8151,0.0082,0.1359,0,1
18,fault_observe,90.0,1193.123,1245.743,526,25.791,0.1578,0.8422,0.9962,0.633,1.4967,10.2607,2,1
19,baseline_settle,0.0,1250.743,1303.863,531,13.677,0.2674,0.7326,1.0,0.8138,0.0078,0.1154,0,1
20,fault_observe,100.0,1308.863,1362.743,539,27.196,0.1503,0.8497,0.9963,0.6197,1.7124,11.1914,2,1
21,baseline_settle,0.0,1367.743,1420.623,529,13.723,0.293,0.707,1.0,0.8311,0.0085,0.1611,0,1
22,fault_observe,110.0,1425.623,1471.743,461,28.687,0.0434,0.9566,0.9978,0.6723,0.6385,12.4364,1,1
23,baseline_settle,0.0,1476.743,1528.623,519,15.019,1.0,0.0,1.0,0.9711,0.0336,0.1589,0,0
24,fault_observe,120.0,1533.623,1585.743,521,29.84,0.1536,0.8464,0.9981,0.6385,1.8995,13.4524,1,1
25,baseline_settle,0.0,1590.743,1644.123,534,15.026,1.0,0.0,1.0,0.8252,0.0455,0.1492,0,0
26,fault_observe,130.0,1649.123,1699.983,508,31.206,0.1319,0.8681,0.998,0.6508,1.7973,14.5202,1,1
