label,bias_percent,start_s,end_s,duration_s,ratio,reported_arsp_mean,reported_arsp_min,reported_arsp_max,reported_arsp_std,reported_arsp_n,true_sim2_as_mean,true_sim2_as_min,true_sim2_as_max,true_sim2_as_std,true_sim2_as_n,groundspeed_gps_mean,groundspeed_gps_min,groundspeed_gps_max,groundspeed_gps_std,groundspeed_gps_n,rel_alt_mean,rel_alt_min,rel_alt_max,rel_alt_std,rel_alt_n,tecs_throttle_mean,tecs_throttle_min,tecs_throttle_max,tecs_throttle_std,tecs_throttle_n,tecs_pitch_dem_mean,tecs_pitch_dem_min,tecs_pitch_dem_max,tecs_pitch_dem_std,tecs_pitch_dem_n,tecs_speed_mean,tecs_speed_min,tecs_speed_max,tecs_speed_std,tecs_speed_n,tecs_speed_dem_mean,tecs_speed_dem_min,tecs_speed_dem_max,tecs_speed_dem_std,tecs_speed_dem_n,ctun_throttle_out_mean,ctun_throttle_out_min,ctun_throttle_out_max,ctun_throttle_out_std,ctun_throttle_out_n,ctun_throttle_dem_mean,ctun_throttle_dem_min,ctun_throttle_dem_max,ctun_throttle_dem_std,ctun_throttle_dem_n,ctun_airspeed_mean,ctun_airspeed_min,ctun_airspeed_max,ctun_airspeed_std,ctun_airspeed_n,ctun_airspeed_target_mean,ctun_airspeed_target_min,ctun_airspeed_target_max,ctun_airspeed_target_std,ctun_airspeed_target_n,aetr_elev_mean,aetr_elev_min,aetr_elev_max,aetr_elev_std,aetr_elev_n,aetr_thr_mean,aetr_thr_min,aetr_thr_max,aetr_thr_std,aetr_thr_n,att_pitch_mean,att_pitch_min,att_pitch_max,att_pitch_std,att_pitch_n,att_des_pitch_mean,att_des_pitch_min,att_des_pitch_max,att_des_pitch_std,att_des_pitch_n,rcou_c2_mean,rcou_c2_min,rcou_c2_max,rcou_c2_std,rcou_c2_n,rcou_c3_mean,rcou_c3_min,rcou_c3_max,rcou_c3_std,rcou_c3_n,arsp_u_mean,arsp_u_zero_fraction,arsp_h_mean,arsp_hp_mean,arsp_tr_mean,reported_minus_true_mps,reported_minus_gps_mps,true_minus_gps_mps,alt_loss_from_baseline_start_m
baseline,0,207.634754,266.014754,58.379999999999995,1.99000001,14.998559519592742,14.840364456176758,15.15719223022461,0.07714068460609207,534,15.466917449233684,15.424765586853027,15.5227689743042,0.018694890754903864,2669,10.546906510690102,10.506000518798828,10.600000381469727,0.018423026498834608,266,100.00166986015405,99.93550872802734,100.0575180053711,0.020935601524394387,1335,0.6419112956925724,0.6384298801422119,0.6455811858177185,0.0012613520968967158,534,-0.02707365725873115,-0.033166538923978806,-0.02098052017390728,0.0021597475930454275,534,15.502645664000779,15.430020332336426,15.576001167297363,0.02665765111233465,534,15.504642206184872,15.504439353942871,15.504823684692383,8.965713434804243e-05,534,64.19146110448945,63.842987060546875,64.55812072753906,0.12595948932666687,1335,64.19061302442229,63.842987060546875,64.55812072753906,0.12644459841798317,1335,14.998385208644224,14.892251014709473,15.09575366973877,0.034338724182708745,1335,1.0,1.0,1.0,0.0,1335,2880.2076124327014,2842.833984375,2913.205322265625,13.10922764816275,1335,64.19146110448945,63.842987060546875,64.55812072753906,0.12595948932666687,1335,-1.5482482015416863,-1.7870519161224365,-1.2639521360397339,0.09480993779175269,1335,-1.5461347966604913,-1.899999976158142,-1.1999999284744263,0.12375599748357935,1335,1627.0539325842697,1625.0,1628.0,0.6704668025210754,1335,1613.0337078651685,1610.0,1616.0,1.0340579117460038,1335,1.0,0.0,1.0,1.0,0.018979610767199576,-0.46835792964094125,4.451653008902641,4.920010938543582,0.0
p010,10,266.014754,323.77434,57.75958600000001,1.65289259,14.983183958498758,14.728837013244629,15.350544929504395,0.10258028783826464,527,14.087751271736455,13.942670822143555,14.305298805236816,0.060957687832920535,2637,9.155418700591692,9.01200008392334,9.373000144958496,0.06116684939834573,263,100.08354632397146,99.96226501464844,100.3565673828125,0.1168045940020102,1319,0.5741102209127379,0.5651459097862244,0.5848982930183411,0.00299972746812587,527,-0.002224819436281667,-0.01621154695749283,0.038256511092185974,0.011335510928943748,527,15.48783500099544,15.333712577819824,15.724061965942383,0.07339203306744893,527,15.50470641894404,15.504467964172363,15.505043983459473,0.00012153508121555893,527,57.41160645676527,56.514591217041016,58.489830017089844,0.3004079140933964,1319,57.41152898283779,56.514591217041016,58.489830017089844,0.3000675500097789,1319,14.984228919363998,14.80105209350586,15.263324737548828,0.07586314378509036,1319,1.0,1.0,1.0,0.0,1319,3572.2444560272934,3360.83837890625,3664.581298828125,33.34375528692924,1319,57.41160645676527,56.514591217041016,58.489830017089844,0.3004079140933964,1319,-0.3488709496480619,-1.170058012008667,0.20632031559944153,0.18431285125584515,1319,-0.12272933709849636,-0.9199999570846558,2.190000057220459,0.6470410541994338,1319,1657.8582259287339,1648.0,1662.0,1.514270817814314,1319,1558.7930250189538,1552.0,1567.0,2.432484203688405,1319,1.0,0.0,1.0,1.0,0.40761180018451226,0.8954326867623035,5.827765257907066,4.932332571144762,-0.08187646381740876
p020,20,323.77434,382.01434,58.24000000000001,1.388888836,15.134028143104425,14.894735336303711,15.595121383666992,0.13856524684083754,533,13.037456489522864,12.927231788635254,13.33366870880127,0.09817961377935175,2662,8.102079364590178,7.993000507354736,8.395000457763672,0.09807609405935278,266,99.82261013429385,99.54896545410156,99.96698760986328,0.1187164768163738,1331,0.5226854470612632,0.5163549184799194,0.5362964272499084,0.004785082493639227,533,0.12358403119903344,0.05706991255283356,0.14363549649715424,0.018179569449477788,533,15.644139644128968,15.4810791015625,15.981588363647461,0.12090775336560845,533,15.504507267005447,15.504171371459961,15.504741668701172,0.00012734102259800018,533,52.269580310847324,51.63549041748047,53.629642486572266,0.47819345155714843,1331,52.26860070174838,51.63549041748047,53.629642486572266,0.4788088186068177,1331,15.135447369581948,14.96438980102539,15.480300903320312,0.12020158321557191,1331,1.0,1.0,1.0,0.0,1331,4281.962138393067,4021.74609375,4366.41796875,69.9959592114296,1331,52.269580310847324,51.63549041748047,53.629642486572266,0.47819345155714843,1331,0.7850834064353202,-0.2632044851779938,1.043124794960022,0.2131780747519207,1331,7.073756414101054,3.259999990463257,8.220000267028809,1.0425307790395548,1331,1689.3628850488356,1678.0,1693.0,3.0843058441901055,1331,1517.6521412471825,1513.0,1529.0,3.831141073028593,1331,1.0,0.0,1.0,1.0,0.4080449549331003,2.0965716535815613,7.031948778514247,4.935377124932685,0.17905972586019914
p030,30,382.01434,439.77434,57.75999999999999,1.183431983,16.066621165121756,15.377002716064453,16.742551803588867,0.3918995306391261,527,12.770811683938213,12.32599925994873,13.228686332702637,0.3057877894832378,2638,7.828723860509468,7.389000415802002,8.289000511169434,0.3059375807657951,264,98.23653776849916,97.45471954345703,99.14055633544922,0.512798842206352,1319,0.5095538948247283,0.4896450638771057,0.5314649343490601,0.013707883988831906,527,0.24536008660662106,0.18206332623958588,0.2617993950843811,0.01885687261538537,527,16.60980855445934,15.999374389648438,17.258358001708984,0.396845983012141,527,15.503310301272196,15.502608299255371,15.504077911376953,0.00039213387715276803,527,50.95759887059047,48.964508056640625,53.14649200439453,1.3721029529177646,1319,50.956978324329064,48.964508056640625,53.14649200439453,1.3702248452030077,1319,16.07041270449091,15.478766441345215,16.682876586914062,0.37801660317275243,1319,1.0,1.0,1.0,0.0,1319,4488.155706930558,4254.837890625,4500.0,37.94397437851778,1319,50.95759887059047,48.964508056640625,53.14649200439453,1.3721029529177646,1319,1.1627471407432706,-1.7342675924301147,4.827883243560791,1.97867330783685,1319,14.053343142407513,10.429999351501465,15.0,1.0824286003563606,1319,1698.4601971190295,1688.0,1699.0,1.7123863854995356,1319,1507.1683093252464,1491.0,1525.0,10.994748051135916,1319,1.0,0.0,1.0,1.0,0.4182436493785603,3.295809481183543,8.237897304612288,4.942087823428745,1.7651320916548912
p040,40,439.77434,497.41434,57.639999999999986,1.020408154,17.291190141971015,16.26511573791504,18.631820678710938,0.5916361118296446,527,12.760458088211013,12.08029842376709,13.773948669433594,0.43613479015660866,2632,7.8109167066363785,7.141000270843506,8.855999946594238,0.43846168045515105,263,95.98881802660354,94.44415283203125,97.38565063476562,0.7900517716136121,1316,0.5092611587703567,0.47930461168289185,0.5529690384864807,0.01923133722015761,527,0.25604693198565964,0.20850779116153717,0.2617993950843811,0.009361708402127335,527,17.88018262454183,16.924489974975586,19.438167572021484,0.6204087483284195,527,15.501608754471086,15.500442504882812,15.50271224975586,0.0005850816370956246,527,50.92773691426657,47.93046188354492,55.296905517578125,1.9256632263703244,1316,50.925262801915316,47.93046188354492,55.296905517578125,1.9227265020111601,1316,17.299754442777314,16.397075653076172,18.7286319732666,0.5825539431470237,1316,1.0,1.0,1.0,0.0,1316,4476.59322869669,4200.02099609375,4500.0,52.521400782872455,1316,50.92773691426657,47.93046188354492,55.296905517578125,1.9256632263703244,1316,1.3196510483898607,-3.6630823612213135,6.83929443359375,2.877132244461149,1316,14.666975446022752,11.9399995803833,15.0,0.5373598897568788,1316,1698.0425531914893,1685.0,1700.0,2.542289286961505,1316,1506.9141337386018,1483.0,1542.0,15.387924476365248,1316,1.0,0.0,1.0,1.0,0.42219452616852304,4.530732053760001,9.480273435334636,4.949541381574635,4.0128518335505134
p050,50,497.41434,555.41434,58.00000000000006,0.888888896,18.542958666243642,17.274843215942383,19.86852264404297,0.6854542740363399,530,12.772575943784894,11.966514587402344,13.65485954284668,0.4684819656648148,2650,7.81741546055056,7.026000499725342,8.708000183105469,0.4668915777975552,265,93.52978872047281,91.7804183959961,95.37499237060547,0.948749498918788,1325,0.5098523040425103,0.4746111035346985,0.5488327145576477,0.020141739687446557,530,0.26123943435695934,0.25647082924842834,0.2617993950843811,0.0011589334361785935,530,19.16969906069198,17.904895782470703,20.523759841918945,0.7135224504047173,530,15.499751001034143,15.498363494873047,15.501169204711914,0.0007081811911530437,530,50.990279808764186,47.46110916137695,54.883270263671875,2.016190673002494,1325,50.98957909638027,47.46110916137695,54.883270263671875,2.013963018603649,1325,18.551981100406287,17.376989364624023,19.81406593322754,0.669912670324239,1325,1.0,1.0,1.0,0.0,1325,4466.478742629717,4261.705078125,4500.0,55.366552025541914,1325,50.990279808764186,47.46110916137695,54.883270263671875,2.016190673002494,1325,1.3345813227578436,-4.953125476837158,7.188439846038818,3.297373074885493,1325,14.965894262205879,14.6899995803833,15.0,0.0685630771777494,1325,1697.640754716981,1688.0,1700.0,2.87408712270398,1325,1507.422641509434,1479.0,1539.0,16.151904397436773,1325,1.0,0.0,1.0,1.0,0.404761661918623,5.7703827224587485,10.725543205693082,4.955160483234334,6.471881139681244
p060,60,555.41434,613.77434,58.360000000000014,0.78125,19.82980219642396,18.334331512451172,21.809223175048828,0.7652805754779213,533,12.803054241226173,11.874336242675781,14.118719100952148,0.49216500208816105,2668,7.843741958060961,6.934000492095947,9.202000617980957,0.4961418703143958,267,90.84258301719197,88.22824096679688,92.99836730957031,1.0959315998521035,1334,0.5112408218978717,0.47074517607688904,0.5664244890213013,0.021029308467771,533,0.2614632009006128,0.2570997178554535,0.2617993950843811,0.0008956380689049783,533,20.496749469978948,18.98378562927246,22.724281311035156,0.8166831847158298,533,15.49772299789801,15.49569320678711,15.499430656433105,0.0008288723099265653,533,51.13142629220211,47.07451629638672,56.753231048583984,2.1113978952192807,1334,51.12939735652804,47.07451629638672,56.753231048583984,2.108997025382189,1334,19.839405431561563,18.37566375732422,21.943946838378906,0.7635088153533702,1334,1.0,1.0,1.0,0.0,1334,4446.161585589041,4162.5986328125,4500.0,82.09164004974609,1334,51.13142629220211,47.07451629638672,56.753231048583984,2.1113978952192807,1334,1.3088101506520502,-5.748635768890381,8.435766220092773,3.4933599141080314,1334,14.980359760896377,14.729999542236328,15.0,0.051932969653109715,1334,1696.7241379310344,1683.0,1700.0,4.1618747540298955,1334,1508.56071964018,1476.0,1554.0,16.89686906470439,1334,1.0,0.0,1.0,1.0,0.4036905500386085,7.026747955197786,11.986060238362999,4.959312283165212,9.159086842962083
p070,70,613.77434,672.01434,58.239999999999895,0.692041516,21.027888510956327,20.435409545898438,21.72555923461914,0.2884814931137036,533,12.778029996053695,12.473212242126465,13.164912223815918,0.17252189824760392,2662,7.833887598568335,7.532000541687012,8.230000495910645,0.17331719287129382,266,88.2159212945011,87.42204284667969,89.1414794921875,0.42351980820297785,1331,0.509756558552021,0.4960210621356964,0.5272937417030334,0.007226799838481642,533,0.2617993950843811,0.2617993950843811,0.2617993950843811,0.0,533,21.727882560601152,21.182958602905273,22.470720291137695,0.3014693225424986,533,15.4957383622819,15.495012283325195,15.496493339538574,0.0003211876208091759,533,50.976823948631605,49.602108001708984,52.729373931884766,0.7223226524924484,1331,50.97547658093436,49.602108001708984,52.729373931884766,0.7235501003200081,1331,21.032474304302397,20.504209518432617,21.742456436157227,0.2820229859459087,1331,1.0,1.0,1.0,0.0,1331,4480.409980527446,4389.51171875,4500.0,28.012996648251875,1331,50.976823948631605,49.602108001708984,52.729373931884766,0.7223226524924484,1331,1.3841855278802406,-1.325662612915039,3.7925121784210205,1.2765145800730084,1331,15.0,15.0,15.0,0.0,1331,1698.1615326821939,1694.0,1700.0,1.440080574517681,1331,1507.3335837716004,1496.0,1521.0,5.804988191882557,1331,1.0,0.0,1.0,1.0,0.410607991519945,8.249858514902632,13.194000912387992,4.9441423974853596,11.785748565652952
p080,80,672.01434,730.27434,58.260000000000105,0.61728394,22.339158359326813,20.91610336303711,24.08287239074707,0.6840295478430037,532,12.819407151150964,12.015049934387207,13.79482364654541,0.392315261547254,2663,7.863663287644975,7.068000316619873,8.844000816345215,0.39150874779717854,267,85.7298834074896,84.13312530517578,87.5987319946289,0.7707418598728598,1331,0.5115389502922395,0.47855889797210693,0.5568101406097412,0.01805203818281371,532,0.26177374777713214,0.2582542896270752,0.2617993950843811,0.0002512083606060855,532,22.825972173447,21.70302963256836,23.819408416748047,0.4515398330045584,532,15.493863702716684,15.492659568786621,15.49540901184082,0.0005826916605442501,532,51.156883486225404,47.85588836669922,55.68101501464844,1.8077810427011058,1331,51.15787697554889,47.85588836669922,55.68101501464844,1.8082041957498065,1331,22.098137856246296,21.001291275024414,23.085773468017578,0.43525909587957995,1331,1.0,1.0,1.0,0.0,1331,4438.3966633992295,4185.19189453125,4500.0,82.8968464435337,1331,51.156883486225404,47.85588836669922,55.68101501464844,1.8077810427011058,1331,1.3041020376848478,-5.042028903961182,7.350433826446533,2.7073653520463448,1331,14.998534932698997,14.789999961853027,15.0,0.014468919102328273,1331,1696.388429752066,1685.0,1700.0,3.8930269414014718,1331,1508.7610818933133,1482.0,1545.0,14.459768899801533,1331,1.0,0.0,1.0,1.0,0.4248223568547405,9.51975120817585,14.475495071681838,4.9557438635059885,14.271786452664458
p090,90,730.27434,788.41434,58.139999999999986,0.55401665,23.532836465907277,23.240596771240234,23.881122589111328,0.11238732588034438,532,12.79453725674837,12.650287628173828,12.959125518798828,0.05581741961849611,2657,7.849706032591046,7.708000183105469,8.01200008392334,0.055967991482283576,265,85.62075071428126,85.34521484375,85.88851928710938,0.09868089335092588,1329,0.510369858123306,0.5032030344009399,0.5180015563964844,0.0026743347024061038,532,0.2617993950843811,0.2617993950843811,0.2617993950843811,0.0,532,22.849095179622335,22.69119644165039,23.00990104675293,0.056046957182406536,532,15.493782011189856,15.493465423583984,15.494086265563965,0.00011566683390082804,532,51.0363481893317,50.31515884399414,51.80015563964844,0.26807582658138474,1329,51.03715082574734,50.32030487060547,51.80015563964844,0.2677195704363934,1329,22.121033261645728,21.968523025512695,22.279069900512695,0.05485020618065684,1329,1.0,1.0,1.0,0.0,1329,4483.937231794347,4442.44970703125,4500.0,13.821297160198286,1329,51.0363481893317,50.31515884399414,51.80015563964844,0.26807582658138474,1329,1.3003446409875419,0.1913287341594696,2.171241044998169,0.3808261947273812,1329,15.0,15.0,15.0,0.0,1329,1698.2279909706547,1696.0,1699.0,0.656001257071122,1329,1507.788562829195,1502.0,1514.0,2.166435622630078,1329,1.0,0.0,1.0,1.0,0.4389586350915575,10.738299209158907,15.683130433316231,4.9448312241573245,14.380919145872795
