bias_percent,accepted_n,nominal_completion_n,degraded_completion_n,autopilot_contained_n,loss_of_control_or_timeout_n,altitude_loss_m_mean,altitude_loss_m_std,post_min_alt_m_mean,post_min_alt_m_std,post_arsp_mean_mps_mean,post_arsp_mean_mps_std,post_gps_mean_mps_mean,post_gps_mean_mps_std,post_arsp_minus_gps_mean_mps_mean,post_arsp_minus_gps_mean_mps_std,east_arsp_minus_gps_mean_mps_mean,east_arsp_minus_gps_mean_mps_std,west_arsp_minus_gps_mean_mps_mean,west_arsp_minus_gps_mean_mps_std,throttle_mean_pct_mean,throttle_mean_pct_std
10,3,3,0,0,0,3.832333333333333,1.0742445407509982,89.68299999999999,0.2807365312886831,15.205420939828784,0.011373029280969378,13.41656403019446,0.010483990493453615,1.7888569096343214,0.0010929390062434036,5.822084504811648,0.014553513265938333,-3.891934404060322,0.00440146377834332,57.67057322779983,0.050752293289799764
20,3,3,0,0,0,6.603000000000004,0.4971146748990601,86.767,0.08838551917594076,15.469458112675923,0.007566573354915901,12.282456274939223,0.005531218905206751,3.1870018377367013,0.0020403591259619464,7.043800908098651,0.003254432849047799,-2.6221183208342542,0.004398942826070425,52.91266468091694,0.027690229631155628
30,3,0,3,0,0,7.041000000000001,0.9041659139781776,86.71866666666666,0.20211960155643985,16.895914530256235,0.01542845719438649,12.318846673171125,0.011692947171261531,4.577067857085111,0.003736613458277751,8.287340818877192,0.0011235785707132792,-1.1333727316889848,0.00613964904328805,53.57849153065402,0.04092792638051166
40,3,0,3,0,0,8.955666666666664,0.812020525192144,84.72866666666667,0.5623027061408571,18.252616917041177,0.012294615412825394,12.33195079431863,0.00560096368709047,5.920666122722547,0.0074010240722634174,9.571560997138201,0.005957134887103349,0.29094561124226553,0.010536748947790218,53.75241875103162,0.032076140127404285
50,3,0,3,0,0,12.163000000000002,0.42300472810596695,80.871,0.6519516853264508,20.316716025197255,0.006415021392282983,13.10082853041294,0.008262214239030535,7.215887494784318,0.0039450458974109315,11.263825281008309,0.013141989873155313,1.429928332982483,0.010021185450537706,56.476607361385675,0.03167148003292151
60,3,0,3,0,0,16.52333333333334,0.4350980732356012,77.37766666666666,0.4656096362118519,21.68769793695634,0.007340734666062859,13.109291094460637,0.003388302749331553,8.578406842495701,0.00932462495458876,12.65547852715405,0.013175328425125098,2.771269889468693,0.005042223404148381,56.53016591251886,0.022774764510620583
70,3,0,3,0,0,18.683000000000003,0.577924735584145,74.83466666666668,1.6143123406990743,23.059239820143148,0.028759538217025923,13.132609720489421,0.009520332380438978,9.926630099653728,0.01928884263661922,14.042969678687996,0.017537780881694675,4.081959115403203,0.022164659412302782,56.61696501573521,0.042109697122112696
80,3,0,3,0,0,21.03766666666667,0.10450039872333097,72.62933333333332,0.5106136830651307,24.451890476848178,0.013781972803697511,13.152267947725122,0.004558596580032697,11.299622529123054,0.01796379863627242,15.440025026431675,0.007829895006408228,5.40537371985376,0.033609175581682284,56.72263198905767,0.020003864451514603
90,3,0,3,0,0,23.16366666666666,0.14242307865416926,70.30766666666666,0.1056330125166092,25.865498368657768,0.02730112654474951,13.17934003438531,0.007026883507279288,12.686158334272456,0.031162960038009387,16.84368089837211,0.0397019153408609,6.7638452157630695,0.04756494784629576,56.81904537346523,0.019517785027065727
100,2,0,2,0,0,23.1325,0.13930003589374174,70.20150000000001,0.4787112908632974,27.21322301875896,0.029450758226217073,13.177357889384822,0.013212584966768219,14.035865129374134,0.01623817325945011,18.2249667580525,0.00653269028701284,8.087655190487567,0.0543675884130486,56.787029978370256,0.014726493543800725
-10,3,3,0,0,0,2.732666666666674,0.9665228053870887,90.63733333333333,0.10375130521267206,15.11842503841027,0.007002870611707045,16.822587750438874,0.010276193636338337,-1.704162712028606,0.004292660052562257,2.5940105020772704,0.008186571273352537,-7.0764571142302195,0.006237867024386384,72.6656417021792,0.048344868628380215
-20,3,3,0,0,0,0.018333333333335606,0.031754264805433356,92.77633333333334,0.4235756524321609,13.10950963654917,0.0060972393918074675,17.033718913917202,0.023869834822692046,-3.9242092773680337,0.018797857734337366,0.38340676571639376,0.0018465197412194702,-8.10833523434051,0.01135938285780985,70.62118297414285,0.01714988150401466
-30,3,0,3,0,0,9.014999999999995,0.41693644599627283,85.41866666666668,0.9064283387744093,12.054096949851141,0.0035271624062439767,18.192750555041698,0.007698707684172121,-6.13865360519056,0.00418017579454604,-2.3344529423648774,0.007534990081346866,-9.487496098307595,0.040445362284625176,74.61535968872342,0.038808261223910644
-40,3,0,0,0,3,79.30766666666666,0.6368911471620067,14.028333333333334,1.3662841334558984,11.759001154319613,0.040035671357356695,16.170775367670135,0.01989339808775707,-4.4117742133505224,0.03531999479260661,-3.8595695891079473,0.09908578422779368,-5.055626232803099,0.27506768249932356,80.721048798252,0.1975700723459351
-50,3,0,3,0,0,7.919000000000001,0.683162498970782,86.30466666666666,0.2326248768582825,6.787289333549034,0.006640279025582994,13.107785038813935,0.020205154605855855,-6.320495705264899,0.016146250989391465,-2.3391669369088057,0.008978757388300208,-11.95462761228245,0.0025688061488440303,56.32910644456368,0.06761219436446017
